,timestep,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale,Rn,Ta
2006-07-16,8475,0.0,0.0,0.604835196,7.573349708,,8684.359838,355.1666666666667,16.929583333333333
2006-07-17,8476,0.0,0.0,0.604382682,8.15334368,,8690.805303,334.5416666666667,20.622916666666665
2006-07-18,8477,0.0,0.0,0.591410615,8.93210413,6.3,8744.368712,342.2083333333333,21.928749999999997
2006-07-19,8478,0.0,0.0,0.582963687,8.575014709,,8787.852511,316.0833333333333,20.6725
2006-07-20,8479,0.75,3.698630137,0.583944134,4.002507446,,8784.88537,164.70833333333334,16.744583333333335
2006-07-21,8480,0.0,0.0,0.59022905,5.400409014,,8754.878665,251.33333333333334,16.277083333333334
2006-07-22,8481,0.5,3.698630137,0.589977654,4.196270266,,8757.620104,187.375,16.45625
2006-07-23,8482,0.75,3.698630137,0.588142458,5.142757215,,8759.139525,277.2083333333333,13.760833333333332
2006-07-24,8483,0.0,0.0,0.585477654,7.488259401,,8778.485042,338.9583333333333,16.854166666666668
2006-07-25,8484,0.0,0.0,0.580952514,7.354853351,6.2,8794.966471,298.3333333333333,19.457083333333333
2006-07-26,8485,0.0,0.0,0.577634078,5.286787019,,8813.43485,245.66666666666666,16.085
2006-07-27,8486,0.0,0.0,0.579444134,5.283335794,,8805.043194,253.625,14.718333333333334
2006-07-28,8487,0.0,0.0,0.579494413,5.521065139,,8804.68748,294.0833333333333,15.191249999999998
2006-07-29,8488,4.25,1.015239304,0.577960894,1.489871906,,8811.997003,78.25,14.232083333333334
2006-07-30,8489,9.5,5.309088467,0.697751397,2.75148896,,8230.610404,142.54166666666666,12.8675
2006-07-31,8490,14.5,1.352821586,0.766307263,1.913327314,,8005.29349,107.20833333333333,12.285416666666668
2006-08-01,8491,3.5,1.0708056,0.701648045,1.500431364,7.0,8258.352521,76.5,11.339583333333332
2006-08-02,8492,0.5,0.711740573,0.602924581,1.862538419,,8687.852536,96.0,10.630416666666667
2006-08-03,8493,0.0,0.0,0.581530726,5.830880539,,8794.877484,328.625,13.246250000000002
2006-08-04,8494,1.25,0.956169492,0.580927374,2.795115695,,8797.991768,142.79166666666666,12.37
2006-08-05,8495,0.25,4.494687085,0.582134078,4.181842378,,8791.857954,213.70833333333334,16.089166666666667
2006-08-06,8496,1.75,2.082163447,0.580097765,3.460851914,,8801.695086,180.75,16.116666666666667
2006-08-07,8497,2.0,3.392334278,0.580776536,5.691280005,,8798.211254,313.5,12.943333333333333
2006-08-08,8498,1.5,9.366430044,0.579293296,5.194986559,6.7,8805.647422,287.7916666666667,12.986666666666666
